message,target
cant hit us,"[1, 0, 0]"
report pudge and zeus total retards,"[0, 0, 1]"
fuck this broodmama,"[0, 0, 1]"
when hes learning hero,"[1, 0, 0]"
this shit jug jz simply say i die back,"[0, 1, 0]"
highlight,"[1, 0, 0]"
this mothfecfucker primal tp mid,"[0, 1, 0]"
puck are you done with your acrobatics ,"[1, 0, 0]"
he prob gay,"[0, 0, 1]"
sry for the waste of time    what a sht game ,"[0, 1, 0]"
sorry  i had a father in my life,"[1, 0, 0]"
cant believe the cumback,"[0, 1, 0]"
boring,"[1, 0, 0]"
grey screen,"[1, 0, 0]"
bh reported for griefing,"[1, 0, 0]"
benched for a reason,"[1, 0, 0]"
pa is crying cos got raped on top,"[0, 0, 1]"
damn ember you are pretty heavy to be allchatting,"[0, 1, 0]"
you are so retarded and bad,"[0, 0, 1]"
u boys are playing like its ti,"[1, 0, 0]"
we can tell,"[1, 0, 0]"
zzzz we have another depressive kiddo here,"[0, 0, 1]"
its literally just a game,"[1, 0, 0]"
but still noob,"[0, 1, 0]"
he s dead,"[1, 0, 0]"
use battlefury jugg,"[1, 0, 0]"
clown    ,"[1, 0, 0]"
my rubick is an impulsive son of whore whose mom dropped him at birth,"[0, 0, 1]"
wioth ur dogshit meepo ,"[0, 0, 1]"
and still fuck u easly,"[0, 1, 0]"
i only kill him twice lol,"[1, 0, 0]"
suck dick bitch,"[0, 0, 1]"
otucarrying rank  ,"[1, 0, 0]"
rosh all towers,"[1, 0, 0]"
stop playing u retards,"[0, 0, 1]"
and he cry like a dog,"[0, 0, 1]"
type,"[1, 0, 0]"
she is a man,"[1, 0, 0]"
this idiot cant fucking use  spells together,"[0, 0, 1]"
wtf is this,"[0, 1, 0]"
cory new player ,"[1, 0, 0]"
sf and nyx suck,"[0, 0, 1]"
surewin,"[1, 0, 0]"
i needed tha rune man   ,"[1, 0, 0]"
does eljean know your a faggot ,"[0, 0, 1]"
thank god i didnt have lastpick this game so pink is stuck with you puck,"[1, 0, 0]"
thats a nice streak  would be a shame if you lost it,"[1, 0, 0]"
fak how do u use this,"[0, 1, 0]"
lycan and silencer,"[1, 0, 0]"
china gonna rule the world,"[1, 0, 0]"
eziest game of my fucking life,"[0, 1, 0]"
need   or  ,"[1, 0, 0]"
dickhead moron,"[0, 0, 1]"
bbc for you this game,"[1, 0, 0]"
can u fuck off ,"[0, 1, 0]"
the fucking difference is when i target cm we win the fight,"[0, 1, 0]"
toxic,"[1, 0, 0]"
even when he is thanking me,"[1, 0, 0]"
the machine,"[1, 0, 0]"
u should try maybe meepo,"[1, 0, 0]"
the last pick uyndying,"[1, 0, 0]"
if you cant play core bro,"[1, 0, 0]"
because none of u idiots were there,"[0, 1, 0]"
what a noob sniper,"[0, 0, 1]"
learn english,"[1, 0, 0]"
muslim son of whore like u ,"[0, 0, 1]"
i hurt the ones i love,"[1, 0, 0]"
noob core ff underlord with vanguard xaxa,"[0, 0, 1]"
every fucking game,"[0, 1, 0]"
when u sex with a girl,"[1, 0, 0]"
won for u,"[1, 0, 0]"
ty bro,"[1, 0, 0]"
how the fuck,"[0, 1, 0]"
stfu tree,"[0, 1, 0]"
why no money idiot  ,"[0, 1, 0]"
afk is choice,"[1, 0, 0]"
he puts,"[1, 0, 0]"
party with eazy heart or ruin,"[1, 0, 0]"
i hope your cock werks,"[0, 0, 1]"
and report morf,"[1, 0, 0]"
i fuck your dad,"[0, 0, 1]"
wtf comback,"[0, 1, 0]"
nobody to follow up ,"[1, 0, 0]"
waste my csgo time,"[1, 0, 0]"
in chrono,"[1, 0, 0]"
carried by kka ,"[1, 0, 0]"
feeding,"[1, 0, 0]"
is fucking u ,"[0, 1, 0]"
the loudest are always the foolish,"[1, 0, 0]"
i honestly think,"[1, 0, 0]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
account buyer dog,"[0, 0, 1]"
pocanam legche budet,"[1, 0, 0]"
this idiot chasing bs,"[0, 0, 1]"
wtf is that radius,"[0, 1, 0]"
whats is country krym ,"[1, 0, 0]"
our noob timber ,"[0, 0, 1]"
too many apes,"[0, 0, 1]"
want some ethereal ,"[1, 0, 0]"
hoy tang ina mo bobo ka sa mid,"[0, 0, 1]"
eat my entire ass,"[0, 0, 1]"
who was the noob  bh ,"[0, 1, 0]"
hope your retarded mother dies in front of your eyes,"[0, 0, 1]"
stupid bitch woman cm,"[0, 0, 1]"
why bro ,"[1, 0, 0]"
this idiot,"[0, 1, 0]"
cachandote,"[1, 0, 0]"
pa fed   kills though,"[1, 0, 0]"
whos gonna carry the retards,"[0, 1, 0]"
unpause ,"[1, 0, 0]"
wtf sk think he is,"[0, 1, 0]"
ok then,"[1, 0, 0]"
we wait for sf ,"[1, 0, 0]"
your mother takes my banana,"[0, 0, 1]"
fuck that guy,"[0, 1, 0]"
cant support thsi shit noob teammates,"[0, 0, 1]"
he s a greedy bastard   ,"[0, 1, 0]"
who,"[1, 0, 0]"
fk u play ur rank cunt,"[0, 0, 1]"
first win,"[1, 0, 0]"
as a whole,"[1, 0, 0]"
enjoy this treads dog pos  with you next,"[0, 0, 1]"
ass hole spotted,"[0, 0, 1]"
from the lane,"[1, 0, 0]"
clinkz is trash,"[0, 0, 1]"
 c,"[1, 0, 0]"
  morons atacking pudge non stop,"[0, 1, 0]"
nice actor chingchong,"[0, 0, 1]"
i was just tryna chill man wtf lol,"[0, 1, 0]"
two aghs,"[1, 0, 0]"
pick pa again and u lose idiot,"[0, 0, 1]"
exactly  be quiet then,"[1, 0, 0]"
did you try one shotting your parents dissapointment ,"[0, 1, 0]"
or your noob ,"[0, 1, 0]"
fucking monkeys in team,"[0, 0, 1]"
send to gof,"[1, 0, 0]"
ashei fassio,"[1, 0, 0]"
how is everyone doing    ,"[1, 0, 0]"
pls wait,"[1, 0, 0]"
who,"[1, 0, 0]"
i mean no,"[1, 0, 0]"
why u use chat ,"[1, 0, 0]"
offlane feeders and abusers,"[1, 0, 0]"
we want to play fair,"[1, 0, 0]"
can you fuck off ,"[0, 1, 0]"
green is talking shit yall,"[0, 1, 0]"
see the difference in my and jug lvl n farms,"[1, 0, 0]"
we have noob drow and pudge,"[0, 0, 1]"
worst subhuman,"[1, 0, 0]"
o home he imortal,"[1, 0, 0]"
world full of gays,"[0, 0, 1]"
help us report this trash fuck pa,"[0, 0, 1]"
try hard moron marci,"[0, 0, 1]"
ina mall ,"[0, 0, 1]"
gg close game,"[1, 0, 0]"
horribl,"[1, 0, 0]"
than ua re gay,"[0, 0, 1]"
where is lina ,"[1, 0, 0]"
when ur carry sucks y lose,"[0, 1, 0]"
i bet you bought that as divine and now legend,"[1, 0, 0]"
not reporting am,"[1, 0, 0]"
ur mom ugly bitch,"[0, 0, 1]"
wtf is that jump,"[0, 1, 0]"
sorrey my contempt for the stupid fucking cunt am got in the way,"[0, 0, 1]"
feed too much,"[1, 0, 0]"
was playing with my tongue noobkid,"[0, 1, 0]"
 head,"[1, 0, 0]"
just end this,"[1, 0, 0]"
go finish  noob team ,"[0, 1, 0]"
fucking clutch,"[0, 1, 0]"
i hope you think about this xd,"[1, 0, 0]"
how long before out of legend,"[1, 0, 0]"
why dont u just send your mom instead of vitamin b,"[0, 0, 1]"
rofl,"[1, 0, 0]"
imagine playing    k games but still plays like that,"[1, 0, 0]"
mid go they cant def,"[1, 0, 0]"
u was rape pos   bro,"[0, 1, 0]"
wtf go mext ,"[0, 1, 0]"
i prefer abuse but doing shit then this dusa,"[0, 1, 0]"
dont know,"[1, 0, 0]"
wtf how come od legend vs me cruseder wtf,"[0, 1, 0]"
fucking ti players in legend,"[0, 1, 0]"
wr leave the game    make your team stronger you rretard,"[0, 0, 1]"
wtf rs,"[0, 1, 0]"
the good old mom card when you suck so hard you have to use it,"[1, 0, 0]"
every   minutes,"[1, 0, 0]"
idiot earthshaker bot,"[0, 0, 1]"
why man  p,"[1, 0, 0]"
you are mouse and noob,"[0, 0, 1]"
such a shit ember spirit as well,"[0, 0, 1]"
hey clown look top,"[0, 0, 1]"
party with uzbek or ruin,"[1, 0, 0]"
death and woe to all ruzzians,"[1, 0, 0]"
sorrty,"[1, 0, 0]"
typical,"[1, 0, 0]"
cue benny hill music,"[1, 0, 0]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
go fuck off,"[0, 1, 0]"
funny thing,"[1, 0, 0]"
report warlock,"[1, 0, 0]"
it should say safe to leave,"[1, 0, 0]"
your mums pretty easy,"[0, 0, 1]"
f off virgin,"[0, 0, 1]"
u cant even stun a player haha,"[0, 0, 1]"
i jsut said my first game is nice game,"[1, 0, 0]"
push mid clown,"[0, 0, 1]"
nah actually fuck undying,"[0, 1, 0]"
that bad ,"[1, 0, 0]"
yes ur whole family all trash lsoer,"[0, 0, 1]"
can you faggots stop pausing,"[0, 0, 1]"
ember son of a whore,"[1, 0, 0]"
catch me,"[1, 0, 0]"
for what tard,"[0, 1, 0]"
nah  you do suck though,"[0, 0, 1]"
perfect hes a pleb,"[0, 0, 1]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
and   of ur core players,"[1, 0, 0]"
imagine calling others moron,"[0, 1, 0]"
pos   pls thanks english team if possible,"[1, 0, 0]"
try hard ,"[1, 0, 0]"
by a mirana,"[1, 0, 0]"
they just too bad,"[1, 0, 0]"
nice english retard,"[0, 1, 0]"
this dog tip me ,"[0, 0, 1]"
thanks for spitting facts whitemon   ,"[1, 0, 0]"
why go when i put a x,"[1, 0, 0]"
the fuck u trying to do ,"[0, 1, 0]"
how low this fucking game is man even if we afk,"[0, 1, 0]"
reason,"[1, 0, 0]"
fuck off,"[0, 1, 0]"
cause our clintz and am are fucking dogs,"[0, 0, 1]"
holy shit,"[0, 1, 0]"
your mom has nice jugs,"[0, 0, 1]"
imagine your carrying this mf,"[0, 1, 0]"
trash coore,"[0, 0, 1]"
gg can throne,"[1, 0, 0]"
of course,"[1, 0, 0]"
ammar the  beed,"[1, 0, 0]"
with me fucking ofc,"[0, 1, 0]"
you re not going anywhere,"[1, 0, 0]"
shoudnt,"[1, 0, 0]"
gotta have some public decency,"[1, 0, 0]"
i breastfed from your mom,"[0, 0, 1]"
and it wasnt even u moron marci,"[0, 0, 1]"
can we end ,"[1, 0, 0]"
i bet ur face is ugly pa,"[0, 0, 1]"
what a retrard ,"[0, 0, 1]"
 you talk a lot of shit for someone who hasnt won   ,"[0, 1, 0]"
fucking techies,"[0, 1, 0]"
two aghs,"[1, 0, 0]"
im so fucking trash,"[0, 1, 0]"
fear my dick,"[0, 1, 0]"
  pos and  pos buy it,"[1, 0, 0]"
put a period so you don t use bad word  cunt,"[0, 0, 1]"
now i m gonna ask you who do you think is the acc buyer  ,"[1, 0, 0]"
yesss ur mom is animal,"[0, 0, 1]"
the stupid penis lover ursa,"[0, 0, 1]"
my team is just pro,"[1, 0, 0]"
fuck putin,"[0, 1, 0]"
really   ,"[1, 0, 0]"
i ll have to check w  your mom first,"[0, 0, 1]"
cumshot,"[0, 1, 0]"
stupid team,"[0, 0, 1]"
who is the best support ,"[1, 0, 0]"
how much pidaras i am from   to      ,"[1, 0, 0]"
we dont even have a carry and you still suck shit,"[0, 0, 1]"
back,"[1, 0, 0]"
beast,"[1, 0, 0]"
tem uma drow um juggernaut,"[1, 0, 0]"
u are the shameless shit,"[0, 0, 1]"
so fucking trash offlane,"[0, 0, 1]"
son of whore,"[0, 0, 1]"
leave fuck noobs,"[0, 1, 0]"
lol ns doesnt leave top for    minutes ,"[1, 0, 0]"
especially wr,"[1, 0, 0]"
what a fuckjing,"[0, 1, 0]"
look at these imbeciles forgetting about serpent wards lol,"[0, 1, 0]"
fuck off necro,"[0, 1, 0]"
holy shit you re outskilled so hard,"[0, 1, 0]"
too ez undying dog,"[0, 0, 1]"
everyone,"[1, 0, 0]"
think of all i ve done for you,"[1, 0, 0]"
hey noob anthony,"[0, 0, 1]"
after this game you will have less mmr than me trash,"[0, 1, 0]"
why,"[1, 0, 0]"
we wanna be toxic to win,"[1, 0, 0]"
and i will still be above you ,"[1, 0, 0]"
farm creeps,"[1, 0, 0]"
fuckk offff man,"[0, 1, 0]"
what the fuck i wanna play ,"[0, 1, 0]"
please hold,"[1, 0, 0]"
this stupid bull head waits for his teammates to die every time when he hurts ,"[0, 1, 0]"
holy shit,"[0, 1, 0]"
its great russian language moron,"[0, 0, 1]"
why wtf,"[0, 1, 0]"
is this lp,"[1, 0, 0]"
u suck pinga with cheese,"[1, 0, 0]"
keep trash out of dota,"[0, 1, 0]"
like the oracle,"[1, 0, 0]"
this stupid,"[0, 1, 0]"
why is magnus mid and sf on offlane,"[1, 0, 0]"
ur not the reason im dead thoug,"[1, 0, 0]"
puhyssy assssss d shadow blade,"[0, 1, 0]"
doesn t change the fact half those hits are wasted and no about of unranked posturing will change the fct you re a huge closeted fa   ot that enjoys bbc and dogsht ugly girls,"[0, 0, 1]"
   ily emp,"[1, 0, 0]"
ty for waiting fags,"[0, 1, 0]"
where is it retard ,"[0, 0, 1]"
did ur pussy leak or what ,"[0, 1, 0]"
what a shit team,"[0, 1, 0]"
gettin this occasion to get somethin to drink  do the same bois,"[1, 0, 0]"
how long have you been a huge fa   ot,"[0, 0, 1]"
  reports clinkz,"[1, 0, 0]"
oh hes raped on top,"[0, 0, 1]"
that ur a son of whore,"[0, 0, 1]"
good silence,"[1, 0, 0]"
im getting free mmr why would i be angry ,"[1, 0, 0]"
as retarded as centaur,"[0, 1, 0]"
od players,"[1, 0, 0]"
were talking so much shit,"[0, 1, 0]"
too bad yr mouse dick kinda cute n short,"[0, 1, 0]"
report mother fucker useles axe,"[0, 0, 1]"
finally,"[1, 0, 0]"
its fine bro,"[1, 0, 0]"
put some pants on antimage,"[1, 0, 0]"
little neckbeard,"[1, 0, 0]"
go kill the dog,"[0, 1, 0]"
wheres bat huskar wtf,"[0, 1, 0]"
 idonthave,"[1, 0, 0]"
imagine saying my tinker noob but still scaed of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
this game is a waste of time this mk sucks,"[0, 0, 1]"
toronto and me,"[1, 0, 0]"
did you get the gcash ,"[1, 0, 0]"
fucking trash,"[0, 0, 1]"
youre a sniper    ,"[1, 0, 0]"
into typing,"[1, 0, 0]"
with my best friend,"[1, 0, 0]"
white boy,"[0, 1, 0]"
pure idiots are playing this game,"[0, 0, 1]"
ctm,"[1, 0, 0]"
wr watching naga and me getting fuck on pornhub,"[0, 0, 1]"
throne it,"[1, 0, 0]"
undying was hype af,"[1, 0, 0]"
wr who to blame now ,"[1, 0, 0]"
fxck you too,"[0, 0, 1]"
i hate black people,"[0, 0, 1]"
told u about handicap,"[1, 0, 0]"
wtf is this,"[0, 1, 0]"
never denied being a piece of shit ,"[0, 1, 0]"
its only like    mmr or   ,"[1, 0, 0]"
probably tastes good,"[1, 0, 0]"
for sure,"[1, 0, 0]"
this is pritty gay,"[0, 1, 0]"
something,"[1, 0, 0]"
  good played  well game,"[1, 0, 0]"
with ur stupid gameplay,"[0, 1, 0]"
let s fight with tide ulti only,"[1, 0, 0]"
he take    hit on towers,"[1, 0, 0]"
thats lc all game,"[1, 0, 0]"
doesn t explain how you are dogshit outside of mid,"[0, 0, 1]"
so hard for clincz mmmmmmmmm,"[1, 0, 0]"
pussy bitch ,"[0, 0, 1]"
omnislash this nuts,"[1, 0, 0]"
maybe a   for   soon,"[1, 0, 0]"
what imbecil,"[0, 1, 0]"
whitemon waiting for ur new songs with aki   ,"[1, 0, 0]"
lol this guy is mentely damaged,"[1, 0, 0]"
me haz fedeado,"[1, 0, 0]"
let him play and waste his time,"[1, 0, 0]"
thanks,"[1, 0, 0]"
ez bear tho,"[1, 0, 0]"
fuckign hell mate,"[0, 1, 0]"
trio trash player,"[0, 0, 1]"
for rough sex,"[0, 0, 1]"
what a joke,"[1, 0, 0]"
typical woman gamer,"[1, 0, 0]"
please report jakiro,"[1, 0, 0]"
his computer shitting itself,"[0, 0, 1]"
report team pelase,"[1, 0, 0]"
i used to love sand king when he sucked,"[1, 0, 0]"
gl to new player invok,"[1, 0, 0]"
waht wind ,"[1, 0, 0]"
said the useless mid,"[0, 0, 1]"
yeah why ,"[1, 0, 0]"
fuck this game,"[0, 1, 0]"
hc eeuu shit player taco,"[0, 0, 1]"
cumbackkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,"[0, 1, 0]"
whos a pussy,"[0, 1, 0]"
this close to breaking my items   ,"[1, 0, 0]"
only cores,"[1, 0, 0]"
bobo edition,"[0, 1, 0]"
and   retarded arab,"[0, 0, 1]"
blue is a fucking moron,"[0, 0, 1]"
idk how u dont pause for ur mid for    second,"[1, 0, 0]"
wtf was this game,"[0, 1, 0]"
let this boringgame end you morons,"[0, 0, 1]"
i need to go,"[1, 0, 0]"
the       is talking,"[1, 0, 0]"
bot and top too shit,"[0, 0, 1]"
my team is trash,"[0, 0, 1]"
walking around lc,"[1, 0, 0]"
u trash sup ind g ,"[0, 0, 1]"
also dw team with this dog,"[0, 0, 1]"
this puck play lina so bad ,"[1, 0, 0]"
pa why,"[1, 0, 0]"
its tough,"[1, 0, 0]"
this s pid dog jug,"[0, 0, 1]"
riki i fk ur sister,"[0, 0, 1]"
ty for that,"[1, 0, 0]"
time to fondle ur balls,"[0, 0, 1]"
i want more of that ass,"[1, 0, 0]"
son of pigs,"[0, 0, 1]"
you are such a loser brad,"[0, 0, 1]"
he is so noob,"[0, 0, 1]"
you shouldnt focus me,"[1, 0, 0]"
if youre kigs procreate with white race     times you wil still be yellow piece of shit chiense trash,"[0, 0, 1]"
thee ol bullshit switch ah roo,"[0, 1, 0]"
stomping aint sweating bruh,"[1, 0, 0]"
because we are not autistic like u,"[0, 0, 1]"
if u think sniper is a newbie,"[1, 0, 0]"
i dont care if u have to shit,"[0, 1, 0]"
these games are so fucking bad,"[0, 1, 0]"
nice picks sniper,"[1, 0, 0]"
oh crap ,"[1, 0, 0]"
mrbeast giveaway,"[1, 0, 0]"
cope and seethe,"[1, 0, 0]"
playing wr vs retards,"[0, 0, 1]"
we will never know,"[1, 0, 0]"
hey neo,"[1, 0, 0]"
wtf was that blink valve ,"[0, 1, 0]"
it was a tasty horse,"[1, 0, 0]"
his mmr maybe    ,"[1, 0, 0]"
they playin,"[1, 0, 0]"
ty idiot,"[0, 1, 0]"
sorry no russian,"[1, 0, 0]"
  range hero,"[1, 0, 0]"
and  half ur base gone,"[1, 0, 0]"
report timber,"[1, 0, 0]"
our support just feed for last    min,"[1, 0, 0]"
fuck this dk,"[0, 0, 1]"
take it easy trash,"[0, 0, 1]"
your mother faker,"[0, 0, 1]"
all gank top for carry then carry useless ,"[0, 0, 1]"
ur doing great,"[1, 0, 0]"
trash median this is,"[0, 0, 1]"
being virgin   fucking ugly bitches,"[0, 0, 1]"
tipping in double score  game,"[1, 0, 0]"
gg  ss and furion feeding,"[1, 0, 0]"
are uguys for real,"[1, 0, 0]"
what ar etard,"[0, 0, 1]"
party with raving,"[1, 0, 0]"
if only silencer wasnt a pussy,"[0, 1, 0]"
carry weak,"[1, 0, 0]"
tip me,"[1, 0, 0]"
ty guys   ,"[1, 0, 0]"
piece of dog,"[0, 0, 1]"
report to avoid this example piece of shitt,"[0, 1, 0]"
 nto the game,"[1, 0, 0]"
u r really wasting that shitty laning pahse,"[0, 1, 0]"
forgive your team then ,"[1, 0, 0]"
gave youf arm,"[1, 0, 0]"
total noob without huskar,"[0, 1, 0]"
what else,"[1, 0, 0]"
useless cores,"[0, 0, 1]"
beg whore,"[0, 0, 1]"
our sup throw it and we have no mid,"[1, 0, 0]"
i guess you gotta voice line when thats all you got going for ya,"[1, 0, 0]"
not watch u cry and bitch,"[0, 1, 0]"
puck good player,"[1, 0, 0]"
when luck becomes a lifeestyle its called skill ,"[1, 0, 0]"
its not even fair,"[1, 0, 0]"
word of advice,"[1, 0, 0]"
the worst player here is u,"[1, 0, 0]"
are u shaikng heaed now sven,"[1, 0, 0]"
sry this fucking clown talking all chat,"[0, 0, 1]"
fuck yes they are,"[0, 1, 0]"
sry didnt mean to tip,"[1, 0, 0]"
high mmr is supporting ,"[1, 0, 0]"
son of whore,"[0, 0, 1]"
u call me a faggot,"[0, 1, 0]"
whats wrong with him ,"[1, 0, 0]"
i was admiring it when you dickwads rudely interrupted,"[0, 0, 1]"
make the community better,"[1, 0, 0]"
i trying my best to sup them but seem like i m the only fool,"[1, 0, 0]"
too busy being in my mum to play dota i guess,"[0, 0, 1]"
mucho tecleas sonso,"[1, 0, 0]"
idiot tecis,"[0, 0, 1]"
go end please,"[1, 0, 0]"
helloooo end clownada ety,"[1, 0, 0]"
you relate to losers,"[0, 0, 1]"
now afk retard,"[0, 1, 0]"
we were winning top when he left,"[1, 0, 0]"
snap be like oh a new day to ruin   peaple game,"[1, 0, 0]"
rep this bitch,"[0, 0, 1]"
come on me ,"[1, 0, 0]"
sounds like he should abandon,"[1, 0, 0]"
toxic and noob,"[0, 1, 0]"
fcking idiot team,"[0, 0, 1]"
ohj the fag hag is here,"[0, 0, 1]"
he break items,"[1, 0, 0]"
assholes,"[0, 0, 1]"
im sorry i smacked you ,"[1, 0, 0]"
i want your ass,"[0, 1, 0]"
all that talk,"[1, 0, 0]"
i came in   v   and raped u remember,"[0, 0, 1]"
tell that to zai,"[1, 0, 0]"
tip thge ns,"[1, 0, 0]"
the only reality is that u are toxic stupid little kid whos mother is getting fucked daily,"[0, 0, 1]"
free to end,"[1, 0, 0]"
what hapenning,"[1, 0, 0]"
no senc this game,"[1, 0, 0]"
that hook,"[1, 0, 0]"
  feeded by   noobs,"[0, 0, 1]"
wtf that creep,"[0, 1, 0]"
youre trash,"[0, 0, 1]"
gg thanks for ez top lane,"[1, 0, 0]"
china balong ingles friends,"[0, 0, 1]"
are such fucking pussies,"[0, 0, 1]"
learning mechanick,"[1, 0, 0]"
all because zamuel didnt want to support  trash ,"[0, 1, 0]"
my   pos is trash,"[0, 0, 1]"
he didn t use chrono,"[1, 0, 0]"
show me ur ass,"[0, 0, 1]"
and still trashtalk here,"[1, 0, 0]"
this qop,"[1, 0, 0]"
nah prefer to avoid u so i can keep getting free mmr,"[1, 0, 0]"
wind and  sky ,"[1, 0, 0]"
u think im dumb,"[0, 1, 0]"
nope,"[1, 0, 0]"
you should give fuck about russia losing in ukraine ,"[0, 1, 0]"
this noob,"[0, 1, 0]"
bot easy ,"[1, 0, 0]"
that sounds like a blue hair disease,"[1, 0, 0]"
it cheap,"[1, 0, 0]"
typical trash mid,"[0, 0, 1]"
but with meteor,"[1, 0, 0]"
why no pick me bmk ,"[1, 0, 0]"
silencer and wr are shit,"[0, 0, 1]"
pussy b tch,"[0, 0, 1]"
ta threw the game  gg,"[1, 0, 0]"
u are idiot estern p iece of shit vodka,"[0, 0, 1]"
i pause with my peni  in yo mama,"[0, 0, 1]"
sucks that lion raged,"[1, 0, 0]"
report that noob,"[0, 0, 1]"
fucking idiopt,"[0, 0, 1]"
i didn t see the clock boy,"[1, 0, 0]"
i have more flesh heap then minutes of this game,"[1, 0, 0]"
how fun it is to play that hero,"[1, 0, 0]"
u guys kept on manning up and chasing doom,"[1, 0, 0]"
congrats you can press   button barely after   people get your ass there after shitting the bed,"[0, 0, 1]"
throne,"[1, 0, 0]"
free to end,"[1, 0, 0]"
offlane noob,"[0, 0, 1]"
son of whore,"[0, 0, 1]"
he plays,"[1, 0, 0]"
u son of whore,"[0, 0, 1]"
 ls time to play mid,"[1, 0, 0]"
and buy rope,"[1, 0, 0]"
always astral his mum,"[0, 0, 1]"
what is bkb ,"[1, 0, 0]"
you low rank you complain a newplayer sniper for,"[1, 0, 0]"
what     ,"[1, 0, 0]"
cant play with bastards,"[0, 1, 0]"
retarded qop,"[0, 0, 1]"
easy,"[1, 0, 0]"
my brain is shrinking,"[1, 0, 0]"
support with hitter item,"[1, 0, 0]"
by my team,"[1, 0, 0]"
hard to hf with pl pickers    ,"[1, 0, 0]"
holy rape,"[0, 1, 0]"
go back and get   more hours of sleep,"[1, 0, 0]"
this dogs   ,"[0, 0, 1]"
and you suck ass son,"[0, 0, 1]"
can u teach me how to be commedy man too  ,"[1, 0, 0]"
bm really fucked up dieing bot,"[0, 1, 0]"
good luck have sex ,"[0, 1, 0]"
cought me on a fast typoig ,"[1, 0, 0]"
 v  but cant end wtf ,"[0, 1, 0]"
only thing i m pissed about is sniper ebing a dick,"[0, 1, 0]"
marci the moron they call her,"[0, 0, 1]"
you done that manta zeus shit yet ,"[0, 1, 0]"
my team are retarded,"[0, 0, 1]"
sb boots grenade buybacks min    cuz he tilted,"[1, 0, 0]"
the master baiter,"[0, 1, 0]"
ez the fk ,"[0, 1, 0]"
ny bot realno,"[1, 0, 0]"
nobovy wants to play this out,"[1, 0, 0]"
easy,"[1, 0, 0]"
doing  tho,"[1, 0, 0]"
tf is this visage hero lol,"[1, 0, 0]"
cringe,"[1, 0, 0]"
stop pls storm,"[1, 0, 0]"
thefuc,"[0, 1, 0]"
feed mid go next fast,"[1, 0, 0]"
i m the mc here ,"[1, 0, 0]"
gg out pls,"[1, 0, 0]"
you should see this bicthass team,"[0, 1, 0]"
he is fking nobo,"[0, 0, 1]"
lol this pa lol,"[1, 0, 0]"
we are so dumb,"[0, 1, 0]"
or not ,"[1, 0, 0]"
im planning to sell them ,"[1, 0, 0]"
hahah been there,"[1, 0, 0]"
this bich hit me with mail,"[1, 0, 0]"
that ball for me  ,"[1, 0, 0]"
go throne,"[1, 0, 0]"
pls win,"[1, 0, 0]"
why play like such pussys when your so far ahead,"[0, 1, 0]"
trash hooker cant win,"[0, 0, 1]"
tits is tis,"[0, 1, 0]"
my cores are jerking off i guess,"[0, 0, 1]"
this is over,"[1, 0, 0]"
sucker,"[0, 0, 1]"
can u end oger now plz,"[1, 0, 0]"
the shit ,"[0, 1, 0]"
i eat ur fake mmr,"[0, 0, 1]"
bcs he is rtard,"[0, 0, 1]"
the faster we can get out of this game,"[1, 0, 0]"
ure the only idiot here,"[0, 0, 1]"
talk cock ,"[0, 0, 1]"
nice hacks  why are you all there  that map hacker tell you to all go there ,"[1, 0, 0]"
can u believe this dog ,"[0, 0, 1]"
stupid england dont know what is said   ,"[0, 0, 1]"
 ok we not afk,"[1, 0, 0]"
who can carry,"[1, 0, 0]"
wanna get in somrthing ,"[1, 0, 0]"
aw shit,"[0, 1, 0]"
it s ok we re both playing broken bullshit heroes,"[0, 1, 0]"
dome ass has no bkb or linken vs fucing bs,"[0, 1, 0]"
your mom still available tonight ,"[0, 0, 1]"
 then fucking afk xd,"[0, 1, 0]"
stop walking into my spells,"[1, 0, 0]"
penis monkey low key,"[0, 1, 0]"
go fuck yourself hopefull,"[0, 0, 1]"
slark your team oob,"[0, 0, 1]"
btw if i have to play with you ds and clinkz im gonna feed you for being a retarded fuck,"[0, 0, 1]"
wrong person my b,"[1, 0, 0]"
i am literally the dumbest motehrfucker alive,"[0, 1, 0]"
wtf is that heal,"[0, 1, 0]"
f that guy,"[1, 0, 0]"
    high rank low brain,"[0, 0, 1]"
grow some real skill and some real heros od,"[1, 0, 0]"
why not,"[1, 0, 0]"
nah thats your luck mother fk,"[0, 1, 0]"
heart for what ,"[1, 0, 0]"
you fucking trash,"[0, 0, 1]"
pudge no longer factor in this game,"[1, 0, 0]"
clown sf,"[0, 0, 1]"
morning dotes,"[1, 0, 0]"
we have stupid bear,"[0, 0, 1]"
your state is fucking useless,"[0, 0, 1]"
who is feeding ,"[1, 0, 0]"
two idiots leaving kills now,"[0, 0, 1]"
what do u expect from a pudge player,"[1, 0, 0]"
how useful the dumb support is,"[0, 1, 0]"
they cry,"[1, 0, 0]"
yal are dicks  why not just end ,"[0, 1, 0]"
fuck yeah fuck the econnomy,"[0, 1, 0]"
